Date,lon,lat,y_pred,y_pred_NN,ps_type,irrigation,time_measured,T2M,T2M_MAX,T2M_MIN,source
2026-05-01,-121.12,38.29,-0.22984516620635986,-0.3601437211036682,0,0,NA,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-01,-121.12,38.29,-0.5281683206558228,-0.571707546710968,1,0,12,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-01,-121.12,38.29,-0.5534902811050415,-0.6274515986442566,1,0,13,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-01,-121.12,38.29,-0.5871033668518066,-0.6850772500038147,1,0,14,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-01,-121.12,38.29,-0.6233248114585876,-0.7441956996917725,1,0,15,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-01,-121.12,38.29,-0.6428253650665283,-0.8070659041404724,1,0,16,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-01,-121.12,38.29,-0.650338351726532,-0.8718675374984741,1,0,17,18.011977188110375,24.905232421875024,11.164769165039086,2026
2026-05-02,-121.12,38.29,-0.23633696138858795,-0.36259469389915466,0,0,NA,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-02,-121.12,38.29,-0.5531472563743591,-0.5782013535499573,1,0,12,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-02,-121.12,38.29,-0.5793372392654419,-0.6348556280136108,1,0,13,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-02,-121.12,38.29,-0.614698588848114,-0.6937642097473145,1,0,14,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-02,-121.12,38.29,-0.6528002023696899,-0.7546500563621521,1,0,15,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-02,-121.12,38.29,-0.6716119050979614,-0.8179332613945007,1,0,16,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-02,-121.12,38.29,-0.6789172887802124,-0.8832836151123047,1,0,17,17.02248985799154,24.9133806152344,11.129643432617211,2026
2026-05-03,-121.12,38.29,-0.23407407104969025,-0.3477744162082672,0,0,NA,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-03,-121.12,38.29,-0.5575317740440369,-0.5559026002883911,1,0,12,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-03,-121.12,38.29,-0.582330048084259,-0.6120508313179016,1,0,13,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-03,-121.12,38.29,-0.6149097681045532,-0.6685954928398132,1,0,14,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-03,-121.12,38.29,-0.6491996645927429,-0.7266110777854919,1,0,15,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-03,-121.12,38.29,-0.6685898900032043,-0.7861641049385071,1,0,16,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-03,-121.12,38.29,-0.6753472685813904,-0.8473941683769226,1,0,17,15.239256215413416,21.419041625976583,10.649662963867211,2026
2026-05-04,-121.12,38.29,-0.21989764273166656,-0.31275591254234314,0,0,NA,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-04,-121.12,38.29,-0.5099636912345886,-0.5033808946609497,1,0,12,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-04,-121.12,38.29,-0.5301644802093506,-0.5558319091796875,1,0,13,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-04,-121.12,38.29,-0.5552521347999573,-0.609804630279541,1,0,14,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-04,-121.12,38.29,-0.5848609209060669,-0.6661209464073181,1,0,15,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-04,-121.12,38.29,-0.6078821420669556,-0.7232868075370789,1,0,16,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-04,-121.12,38.29,-0.6184602975845337,-0.7794046401977539,1,0,17,14.80169645182296,19.980671875000024,12.270741455078149,2026
2026-05-05,-121.12,38.29,-0.2163306623697281,-0.3402017652988434,0,0,NA,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-05,-121.12,38.29,-0.49063342809677124,-0.5255658626556396,1,0,12,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-05,-121.12,38.29,-0.5103416442871094,-0.5760439038276672,1,0,13,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-05,-121.12,38.29,-0.5329083800315857,-0.6307820677757263,1,0,14,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-05,-121.12,38.29,-0.5615635514259338,-0.685522198677063,1,0,15,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-05,-121.12,38.29,-0.584540605545044,-0.7394846677780151,1,0,16,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-05,-121.12,38.29,-0.5959790349006653,-0.7925909161567688,1,0,17,13.96212100219729,17.11249255371096,10.853398315429711,2026
2026-05-06,-121.12,38.29,-0.2201392948627472,-0.35368722677230835,0,0,NA,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-06,-121.12,38.29,-0.518083393573761,-0.5549437403678894,1,0,12,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-06,-121.12,38.29,-0.5407358407974243,-0.6109499931335449,1,0,13,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-06,-121.12,38.29,-0.571273922920227,-0.6651578545570374,1,0,14,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-06,-121.12,38.29,-0.6094815731048584,-0.7218287587165833,1,0,15,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-06,-121.12,38.29,-0.6345587968826294,-0.7795608043670654,1,0,16,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-06,-121.12,38.29,-0.6445910930633545,-0.8367328643798828,1,0,17,15.380772583007836,23.16086291503909,11.014790527343774,2026
2026-05-07,-121.12,38.29,-0.23403389751911163,-0.3698705732822418,0,0,NA,17.550268483479822,24.92694567871096,11.084233276367211,2026
2026-05-07,-121.12,38.29,-0.5490553975105286,-0.5871034264564514,1,0,12,17.550268483479822,24.92694567871096,11.084233276367211,2026
2026-05-07,-121.12,38.29,-0.5745212435722351,-0.645664393901825,1,0,13,17.550268483479822,24.92694567871096,11.084233276367211,2026
